[ειπεν,G3004,V-2AAI-3S,verb second aorist active indicative third person singular,ask
חרם,H2764,HNcmsa,Noun common masculine singular absolute,excised
חרמ,H2764,HNcmsc,Noun common masculine singular construct,excised
חרם,H2765,HNp,Noun proper name,Horem
חרם,H2766,HNp,Noun proper name,Harim
חרמה,H2767,HNp,Noun proper name,Hormah
חרמון,H1179,HNp,Noun proper name,Baal-hermon
חרמון,H2768,HNp,Noun proper name,Hermon
חרמונים,H2769,HNp,Noun proper name,the Hermonites
חרמים,H2764,HNcmpa,Noun common masculine plural absolute,excised
חרמש,H2770,HNcmsa,Noun common masculine singular absolute,sickle
חרן,H1032,HNp,Noun proper name,Beth-horon
חרנ,H2740,HNcmsc,Noun common masculine singular construct,inflaming
חרן,H2771,HNp,Noun proper name,Haran
חרנ,H2771,HNp,Noun proper name,Haran
חרני,H2772,HNgmsa,Noun gentilic masculine singular absolute,Horonite
חרנים,H2773,HNp,Noun proper name,Horonaim
חרנפר,H2774,HNp,Noun proper name,Harnepher
חרס,H2775,HNcmsa,Noun common masculine singular absolute,itch
חרס,H2775,HNp,Noun proper name,itch
חרס,H2776,HNp,Noun proper name,Heres
חרס,H8556,HNp,Noun proper name,Timnath-heres
חרסות,H2777,HNcfsa,Noun common feminine singular absolute,east
חרף,H2778,HVpp3ms,Verb piel perfect third person masculine singular,winter
חרף,H2778,HVpc,Verb piel infinitive construct,winter
חרפ,H2778,HVpc,Verb piel infinitive construct,winter
חרפ,H2778,HVqrmsc,Verb qal participle active masculine singular construct,winter
חרף,H2779,HNcmsa,Noun common masculine singular absolute,winter
חרפ,H2779,HNcmsc,Noun common masculine singular construct,winter
חרף,H2780,HNp,Noun proper name,Hareph
חרפה,H2781,HNcfsa,Noun common feminine singular absolute,reproach
חרפו,H2778,HVpp3cp,Verb piel perfect third person common plural,winter
חרפות,H2781,HNcfpc,Noun common feminine plural construct,reproach
חרפות,H2781,HNcfpa,Noun common feminine plural absolute,reproach
חרפת,H2778,HVpp2ms,Verb piel perfect second person masculine singular,winter
חרפת,H2781,HNcfsc,Noun common feminine singular construct,reproach
חרפתי,H2778,HVpp1cs,Verb piel perfect first person common singular,winter
חרפתם,H2778,HVpp2mp,Verb piel perfect second person masculine plural,winter
חרץ,H2782,HVqp3ms,Verb qal perfect third person masculine singular,incision
חרצ,H2783,ANcmsc,Noun common masculine singular construct,loin
חרצבות,H2784,HNcfpa,Noun common feminine plural absolute,band
חרצבות,H2784,HNcfpc,Noun common feminine plural construct,band
חרצות,H2742,HNcmpc,Noun common masculine plural construct,incision
חרצי,H2757,HNcmpc,Noun common masculine plural construct,incisors
חרצים,H2742,HAampa,Adjective adjective masculine plural absolute,incision
חרצנים,H2785,HNcmpa,Noun common masculine plural absolute,
חרצת,H2782,HVqp2ms,Verb qal perfect second person masculine singular,incision
חרק,H2786,HVqp3ms,Verb qal perfect third person masculine singular,gnash
חרק,H2786,HVqa,Verb qal infinitive absolute,gnash
חרק,H2786,HVqrmsa,Verb qal participle active masculine singular absolute,gnash
חררים,H2788,HNcmpa,Noun common masculine plural absolute,scorchings
חרש,H2789,HNcmsa,Noun common masculine singular absolute,pottery
חרש,H2790,HVqc,Verb qal infinitive construct,be silent
חרש,H2790,HVqrmsa,Verb qal participle active masculine singular absolute,be silent
חרש,H2791,HNcmsa,Noun common masculine singular absolute,silently
חרש,H2792,HNp,Noun proper name,Heresh
חרש,H2793,HNcmsa,Noun common masculine singular absolute,bough
חרש,H2794,HVqrmsc,Verb qal participle active masculine singular construct,artificer
חרש,H2794,HVqrmsa,Verb qal participle active masculine singular absolute,artificer
חרש,H2795,HAamsa,Adjective adjective masculine singular absolute,silent
חרש,H2796,HNcmsc,Noun common masculine singular construct,craftsman
חרש,H2796,HNcmsa,Noun common masculine singular absolute,craftsman
חרש,H7025,HNp,Noun proper name,Kir-haraseth
חרשא,H2797,HNp,Noun proper name,Harsha
חרשא,H8521,HNp,Noun proper name,Tel-haresha
חרשה,H2793,HNp,Noun proper name,bough
חרשו,H2790,HVqp3cp,Verb qal perfect third person common plural,be silent
חרשות,H2790,HVqrfpa,Verb qal participle active feminine plural absolute,be silent
חרשי,H2789,HNcmpc,Noun common masculine plural construct,pottery
חרשי,H2790,HVqrmpc,Verb qal participle active masculine plural construct,be silent
חרשי,H2796,HNcmpc,Noun common masculine plural construct,craftsman
חרשים,H2790,HVqrmpa,Verb qal participle active masculine plural absolute,be silent
חרשים,H2791,HNcmpa,Noun common masculine plural absolute,silently
חרשים,H2793,HNcmpa,Noun common masculine plural absolute,bough
חרשים,H2795,HAampa,Adjective adjective masculine plural absolute,silent
חרשים,H2796,HNcmpa,Noun common masculine plural absolute,craftsman
חרשים,H2798,HNp,Noun proper name,Charashim
חרשת,H2799,HNcfsc,Noun common feminine singular construct,craft
חרשת,H2800,HNp,Noun proper name,Harosheth
חרשת,H7025,HNp,Noun proper name,Kir-haraseth
חרשתם,H2790,HVqp2mp,Verb qal perfect second person masculine plural,be silent
חרת,H2802,HNp,Noun proper name,Hereth
חש,H2363,HVqq3ms,Verb qal sequential perfect third person masculine singular,hurry
חש,H2363,HVqrmsa,Verb qal participle active masculine singular absolute,hurry
חש,H4122,HNp,Noun proper name,Maher-sha-lal-bash-baz
חשב,H2803,HVqp3ms,Verb qal perfect third person masculine singular,think
חשב,H2803,HVqrmsa,Verb qal participle active masculine singular absolute,think
חשב,H2803,HVqc,Verb qal infinitive construct,think
חשב,H2803,HVpq3ms,Verb piel sequential perfect third person masculine singular,think
חשב,H2803,HVqq3ms,Verb qal sequential perfect third person masculine singular,think
חשב,H2805,HNcmsc,Noun common masculine singular construct,thinking
חשבדנה,H2806,HNp,Noun proper name,Hasbadana
חשבה,H2803,HVpp3fs,Verb piel perfect third person feminine singular,think
חשבה,H2807,HNp,Noun proper name,Hashubah
חשבו,H2803,HVqp3cp,Verb qal perfect third person common plural,think
חשבון,H2808,HNcmsa,Noun common masculine singular absolute,thoughtfulness
חשבון,H2809,HNp,Noun proper name,Heshbon
חשבי,H2803,HVqrmpc,Verb qal participle active masculine plural construct,think
חשביה,H2811,HNp,Noun proper name,Hashabiah
חשביהו,H2811,HNp,Noun proper name,Hashabiah
חשבים,H2803,HVqrmpa,Verb qal participle active masculine plural absolute,think
חשבנ,H2803,HVqp1cp,Verb qal perfect first person common plural,think
חשבנה,H2812,HNp,Noun proper name,Hashabnah
חשבנות,H2810,HNcmpa,Noun common masculine plural absolute,engine
חשבניה,H2813,HNp,Noun proper name,Hashabniah
חשבת,H2803,HVqp2ms,Verb qal perfect second person masculine singular,think
חשבת,H2803,HVqq2ms,Verb qal sequential perfect second person masculine singular,think
חשבתה,H2803,HVqp2ms,Verb qal perfect second person masculine singular,think
חשבתי,H2803,HVpp1cs,Verb piel perfect first person common singular,think
חשבתי,H2803,HVqp1cs,Verb qal perfect first person common singular,think
חשבתם,H2803,HVqp2mp,Verb qal perfect second person masculine plural,think
חשוב,H2815,HNp,Noun proper name,Hashub
חשוכ,H2816,ANcmsd,Noun common masculine singular determined,darkness
חשופא,H2817,HNp,Noun proper name,Hashupha
חשופה,H2834,HVqsfsa,Verb qal participle passive feminine singular absolute,expose
חשופי,H2834,HVqsmpc,Verb qal participle passive masculine plural construct,expose
חשוקי,H2838,HNcmpc,Noun common masculine plural construct,attachments
חשות,H2814,HVqc,Verb qal infinitive construct,hold peace
חשחות,H2819,ANcfsc,Noun common feminine singular construct,be needful
חשחין,H2818,AVqrmpa,Verb peal participle active masculine plural absolute,careful
חשחן,H2818,ANcfpa,Noun common feminine plural absolute,careful
חשיבין,H2804,AVQsmpa,Verb peil participle passive masculine plural absolute,repute
חשיכה,H2825,HNcfsa,Noun common feminine singular absolute,darkness
חשים,H2363,HVqsmpa,Verb qal participle passive masculine plural absolute,hurry
חשים,H2366,HNp,Noun proper name,Hushim
חשך,H2820,HVqp3ms,Verb qal perfect third person masculine singular,assuage
חשך,H2820,HVqv2ms,Verb qal imperative second person masculine singular,assuage
חשך,H2820,HVqrmsa,Verb qal participle active masculine singular absolute,assuage
חשך,H2821,HVqp3ms,Verb qal perfect third person masculine singular,dark
חשך,H2822,HNcmsa,Noun common masculine singular absolute,darkness
חשך,H2822,HNcmsc,Noun common masculine singular construct,darkness
חשכ,H2822,HNcmsc,Noun common masculine singular construct,darkness
חשכה,H2821,HVqq3fs,Verb qal sequential perfect third person feminine singular,dark
חשכה,H2825,HNcfsa,Noun common feminine singular absolute,darkness
חשכו,H2820,HVqp3cp,Verb qal perfect third person common plural,assuage
חשכו,H2821,HVqq3cp,Verb qal sequential perfect third person common plural,dark
חשכו,H2821,HVqp3cp,Verb qal perfect third person common plural,dark
חשכים,H2823,HAampa,Adjective adjective masculine plural absolute,dark
חשכים,H2825,HNcfpa,Noun common feminine plural absolute,darkness
חשכת,H2820,HVqp2ms,Verb qal perfect second person masculine singular,assuage
חשכת,H2824,HNcfsc,Noun common feminine singular construct,dark
חשכתי,H2820,HVqp1cs,Verb qal perfect first person common singular,assuage
חשל,H2827,AVqrmsa,Verb peal participle active masculine singular absolute,subdue
חשם,H2366,HNp,Noun proper name,Hushim
חשם,H2367,HNp,Noun proper name,Husham
חשם,H2828,HNp,Noun proper name,Hashum
חשמון,H2829,HNp,Noun proper name,Heshmon
חשמל,H2830,HNcmsa,Noun common masculine singular absolute,amber
חשמנה,H2832,HNp,Noun proper name,Hashmonah
חשמנים,H2831,HNcmpa,Noun common masculine plural absolute,princes
חשן,H2833,HNcmsa,Noun common masculine singular absolute,pouch
חשן,H2833,HNcmsc,Noun common masculine singular construct,pouch
חשף,H2834,HVqc,Verb qal infinitive construct,expose
חשף,H2834,HVqp3ms,Verb qal perfect third person masculine singular,expose
חשף,H2834,HVqa,Verb qal infinitive absolute,expose
חשפ,H2834,HVqp3ms,Verb qal perfect third person masculine singular,expose
חשפא,H2817,HNp,Noun proper name,Hashupha
חשפי,H2834,HVqv2fs,Verb qal imperative second person feminine singular,expose
חשפי,H2835,HNcmpc,Noun common masculine plural construct,
חשפתי,H2834,HVqp1cs,Verb qal perfect first person common singular,expose
חשק,H2836,HVpp3ms,Verb piel perfect third person masculine singular,be attached
חשק,H2836,HVqp3ms,Verb qal perfect third person masculine singular,be attached
חשק,H2837,HNcmsc,Noun common masculine singular construct,attached
חשקה,H2836,HVqp3fs,Verb qal perfect third person feminine singular,be attached
חשקי,H2838,HNcmpc,Noun common masculine plural construct,attachments
חשקי,H2839,HNcmpc,Noun common masculine plural construct,attachers
חשקת,H2836,HVqq2ms,Verb qal sequential perfect second person masculine singular,be attached
חשקת,H2836,HVqp2ms,Verb qal perfect second person masculine singular,be attached
חשרי,H2840,HNcmpc,Noun common masculine plural construct,spoke
חשרת,H2841,HNcfsc,Noun common feminine singular construct,dark
חשש,H2842,HNcmsa,Noun common masculine singular absolute,chaff
חשתי,H2363,HVqp1cs,Verb qal perfect first person common singular,hurry
חשתי,H2843,HNgmsa,Noun gentilic masculine singular absolute,Hushathite
חת,H2844,HNcmsc,Noun common masculine singular construct,dismay
חת,H2844,HNcmsa,Noun common masculine singular absolute,dismay
חת,H2845,HNp,Noun proper name,Heth
חת,H2865,HVqp3ms,Verb qal perfect third person masculine singular,be dismayed
חתה,H2846,HVqrmsa,Verb qal participle active masculine singular absolute,firepan
חתה,H2865,HVqp3fs,Verb qal perfect third person feminine singular,be dismayed
חתו,H2865,HVqp3cp,Verb qal perfect third person common plural,be dismayed
חתו,H2865,HVqv2mp,Verb qal imperative second person masculine plural,be dismayed
חתו,H2865,HVqq3cp,Verb qal sequential perfect third person common plural,be dismayed
חתול,H2848,HNcmsa,Noun common masculine singular absolute,roller
חתום,H2856,HVqsmsa,Verb qal participle passive masculine singular absolute,make sealed
חתום,H2856,HVqv2ms,Verb qal imperative second person masculine singular,make sealed
חתום,H2856,HVqa,Verb qal infinitive absolute,make sealed
חתומים,H2856,HVqsmpa,Verb qal participle passive masculine plural absolute,make sealed
חתות,H2846,HVqc,Verb qal infinitive construct,firepan
חתחתים,H2849,HNcmpa,Noun common masculine plural absolute,dismays
חתי,H2850,HNgmsa,Noun gentilic masculine singular absolute,Hittite
חתים,H2844,HAampa,Adjective adjective masculine plural absolute,dismay
חתים,H2850,HNgmpa,Noun gentilic masculine plural absolute,Hittite
חתית,H2850,HNgfpa,Noun gentilic feminine plural absolute,Hittite
חתית,H2850,HNgmsa,Noun gentilic masculine singular absolute,Hittite
חתית,H2850,HNgfsa,Noun gentilic feminine singular absolute,Hittite
חתית,H2851,HNcfsc,Noun common feminine singular construct,dismay
חתית,H2851,HNcfsa,Noun common feminine singular absolute,dismay
חתלן,H2855,HNp,Noun proper name,Hethlon
חתלת,H2853,HVPp2fs,Verb pual perfect second person feminine singular,at all
חתלת,H2854,HNcfsc,Noun common feminine singular construct,swaddling band
חתמ,H2368,HNcmsc,Noun common masculine singular construct,seal
חתם,H2368,HNcmsa,Noun common masculine singular absolute,seal
חתם,H2856,HVqsmsa,Verb qal participle passive masculine singular absolute,make sealed
חתם,H2856,HVqc,Verb qal infinitive construct,make sealed
חתם,H2856,HVqv2ms,Verb qal imperative second person masculine singular,make sealed
חתמ,H2857,AVqp3ms,Verb peal perfect third person masculine singular,seal
חתמו,H2856,HVqv2mp,Verb qal imperative second person masculine plural,make sealed
חתמו,H2856,HVpp3cp,Verb piel perfect third person common plural,make sealed
חתמים,H2856,HVqsmpa,Verb qal participle passive masculine plural absolute,make sealed
חתמת,H2858,HNcfsa,Noun common feminine singular absolute,sealer
חתן,H2859,HVqrmsc,Verb qal participle active masculine singular construct,in-law
חתנ,H2859,HVqrmsc,Verb qal participle active masculine singular construct,in-law
חתן,H2860,HNcmsa,Noun common masculine singular absolute,in-law
חתן,H2860,HNcmsc,Noun common masculine singular construct,in-law
חתנ,H2860,HNcmsc,Noun common masculine singular construct,in-law
